"date","close","volume","open","high","low"
"2014/08/18","124.9800","4186719.0000","123.5800","125.2400","123.5700"
"2014/08/15","123.1600","4570001.0000","124.5000","124.5000","122.1500"
"2014/08/14","124.1100","4816433.0000","122.2000","124.6900","122.1600"
"2014/08/13","121.9800","2641112.0000","120.6700","122.2300","120.6300"
"2014/08/12","120.4700","2303509.0000","120.5100","120.9400","120.0100"
"2014/08/11","120.8000","2807868.0000","121.1500","121.7600","120.7500"
"2014/08/08","120.6300","4348948.0000","119.8000","120.6500","119.2800"
"2014/08/07","119.8400","4641805.0000","119.0000","120.2200","118.8700"
"2014/08/06","118.3400","6226770.0000","119.3200","119.3600","117.8700"
"2014/08/05","121.2700","6089115.0000","119.6700","121.9782","119.6600"
"2014/08/04","119.9300","4647326.0000","120.8000","121.1900","119.7700"
"2014/08/01","120.3800","5852097.0000","120.4500","121.7100","119.6400"
"2014/07/31","120.4800","5588309.0000","121.4700","122.0500","120.4100"
"2014/07/30","122.2900","4042943.0000","123.2000","123.8000","121.7600"
"2014/07/29","122.3200","4088607.0000","123.3100","123.6300","122.2036"
"2014/07/28","123.0600","4979885.0000","123.4400","124.5600","122.1600"
"2014/07/25","123.2000","6121295.0000","124.4800","124.5300","122.4100"
"2014/07/24","124.4000","10108570.0000","125.9200","126.0500","124.0000"
"2014/07/23","126.7100","12300430.0000","127.7900","128.4000","126.0200"
"2014/07/22","129.7400","5095437.0000","128.9900","130.0100","128.5800"
"2014/07/21","128.3000","2738555.0000","127.3000","128.4200","126.7700"
"2014/07/18","127.6400","3103065.0000","126.3800","127.8200","126.2500"
"2014/07/17","125.8800","5292807.0000","127.2100","128.1800","125.7900"
"2014/07/16","127.4200","5260552.0000","129.5600","129.5600","127.1425"
"2014/07/15","129.1000","4915944.0000","130.3100","130.3100","128.3400"
"2014/07/14","129.5200","5266877.0000","128.9100","130.5800","128.7550"
"2014/07/11","128.0900","3193123.0000","127.1800","128.2400","126.3600"
"2014/07/10","126.7900","3933942.0000","125.5400","127.6300","125.1158"
"2014/07/09","126.7900","8023164.0000","128.3100","128.3200","125.9100"
"2014/07/08","126.7900","5724191.0000","128.8900","128.9700","125.9200"
"2014/07/07","129.0900","3157036.0000","128.1000","129.5000","127.7700"
"2014/07/03","128.5100","1997530.0000","127.9900","128.6200","127.7000"
"2014/07/02","127.6200","2858982.0000","128.1500","128.5000","127.3400"
"2014/07/01","128.1500","3772518.0000","127.6600","128.3300","127.3600"
"2014/06/30","127.2300","5712924.0000","127.9100","127.9100","126.2000"
"2014/06/27","128.5400","3687049.0000","128.0700","128.7780","127.5600"
"2014/06/26","128.0200","3920738.0000","127.4100","128.4400","126.3590"
"2014/06/25","127.0600","7929046.0000","129.0400","129.1400","126.2800"
"2014/06/24","129.1500","4319654.0000","130.5000","131.2397","129.0000"
"2014/06/23","130.8500","4432815.0000","132.3200","132.5300","130.6500"
"2014/06/20","132.1000","8078887.0000","133.4800","134.0800","132.0900"
"2014/06/19","132.8200","2793978.0000","132.4800","132.9300","131.8000"
"2014/06/18","132.4800","2859007.0000","132.6100","132.6700","131.0300"
"2014/06/17","132.4500","2223196.0000","132.1000","133.0500","131.7200"
"2014/06/16","132.5400","2163778.0000","132.2000","133.1300","131.6500"
"2014/06/13","132.2900","2376063.0000","132.5300","132.9500","131.5500"
"2014/06/12","132.1900","3826057.0000","133.8600","134.1700","131.6400"
"2014/06/11","134.1000","5557634.0000","135.2500","135.5300","133.8200"
"2014/06/10","137.2500","2343894.0000","137.5900","137.7500","136.2900"
"2014/06/09","137.9600","2584730.0000","138.2500","138.3900","137.5001"
"2014/06/06","138.2500","2710431.0000","137.3900","138.2500","137.1200"
"2014/06/05","136.8200","3489881.0000","135.6500","137.3770","135.6500"
"2014/06/04","135.3300","2601681.0000","135.5400","135.5500","134.5900"
"2014/06/03","135.8800","2468764.0000","135.8000","136.5300","135.6200"
"2014/06/02","135.9000","2629853.0000","135.5000","136.0300","134.7700"
"2014/05/30","135.2500","2760278.0000","134.6700","135.4400","134.0400"
"2014/05/29","135.1400","2234115.0000","134.7100","135.2000","134.4300"
"2014/05/28","134.3300","2609444.0000","134.1700","135.1500","134.1700"
"2014/05/27","134.1700","3085483.0000","133.0900","134.2100","132.8700"
"2014/05/23","132.4100","1956183.0000","132.0000","132.5793","131.9300"
"2014/05/22","131.8400","2370744.0000","131.6600","132.4800","131.2700"
"2014/05/21","130.9600","2476036.0000","130.4300","131.4300","130.0400"
"2014/05/20","129.5800","2995763.0000","130.9400","131.5983","129.0700"
"2014/05/19","131.3500","2103063.0000","130.4200","132.0700","130.3500"
"2014/05/16","130.8100","2963305.0000","131.3100","131.7100","130.0300"
"2014/05/15","131.2100","3596778.0000","132.7000","132.8600","130.5610"
"2014/05/14","132.9900","2883927.0000","133.8000","133.9700","132.6900"
"2014/05/13","133.4500","3132140.0000","133.0100","133.8300","132.8600"
"2014/05/12","132.6000","3288397.0000","131.8200","132.9900","131.6400"
"2014/05/09","131.1000","2543822.0000","130.2600","131.3300","129.8800"
"2014/05/08","130.5700","2988654.0000","130.1700","131.2700","130.1700"
"2014/05/07","130.3500","2900364.0000","130.7700","131.1000","129.2000"
"2014/05/06","130.8300","4031330.0000","131.7500","131.9200","130.7000"
"2014/05/05","131.9600","4022981.0000","129.0000","132.3800","128.9500"
"2014/05/02","129.9400","3762887.0000","128.7000","130.4000","128.6100"
"2014/05/01","128.4600","2804090.0000","128.7400","129.6000","128.2700"
"2014/04/30","129.0200","2772959.0000","128.0500","129.5000","127.8000"
